id,nome,moradaSede,estaleiros,coordsSede
E192,"MOVE & RACE UNIPESSOAL LDA","RUA PARTICULAR LOTE 8 N 5 , 2680-128 CAMARATE","[]",""
E193,"MUNICIPIO DE CAMINHA","PC CONSELHEIRO SILVA TORRES , 4910-122 CAMINHA","[]",""
E194,"MUNICIPIO DE PINHEL","LG MINISTRO DUARTE PACHECO N 8, 6400-358 PINHEL","[]",""
E195,"MUNICIPIO DE PORTEL","LG D NUNO ALVARES PEREIRA N 3 , 7220-375 PORTEL","[]",""
E196,"REDE AMBIENTE - ENGENHARIA E SERVIÇOS SA","LUGAR DO EXTREMO - ARMAZEM SANJURGE , 5400-578 CHAVES","[]",""
E197,"MUNICIPIO DE VINHAIS","R DAS FREIRAS , 5320-326 VINHAIS","[]",""
E198,"FREGUESIA DE MINA DE ÁGUA","Praceta Moinho da Bôba, n.º 10-C, 2700-590 Amadora","[]",""
E200,"RECICLAZENHA - RECICLAGEM E SUCATAS - UNIPESSOAL LDA","RUA DA COMITAL N 430, 4445-349 ERMESINDE","[]",""
E201,"MUNICIPIO DE GUIMARÃES","LARGO CONEGO JOSE MARIA GOMES, 4810-000 GUIMARÃES","[]",""
E202,"MAIAMBIENTE, EM","R. 5 de Outubro, 4475-302 Maia","[]",""
E203,"FREGUESIA DE LOUROSA","Rua do Infantário, n.º 300, 4535-068 LOUROSA","[]",""
E204,"Município de Vila Nova de Foz Côa","Praça do Município, 5150-642 Vila Nova de Foz Côa","[{""id"":""0.9316421627041374"",""morada"":""Rua das Moreirinhas, 5150-642 Vila Nova de Foz Côa"",""nome"":""Armazém Municipal de Vila Nova de Foz Côa"",""responsavel"":"""",""telefone"":""""}]",""
E205,"MUNICÍPIO DE AVIS","LARGO CÂNDIDO DOS REIS, 11, 7480-116 AVIS","[]",""
E206,"MUNICÍPIO DE TOMAR","MUNICÍPIO DE TOMAR, Praça da República, 2300-550 Tomar","[]",""
E207,"JUNTA DE FREGUESIA DE ALFRAGIDE","Rua Miguel Torga nº2 Edifício da Junta 2610-086 Alfragide","[]",""
E208,"MUNICIPIO DE ALVITO","LG LARGO DO RELOGIO N 1, 7920-022 ALVITO ","[]",""
